valor,horario,localizacao,tipo_transacao,fraude
476.25,18,Rio de Janeiro,TED,não
57.35,12,Recife,Pix,sim
105.66,4,Porto Alegre,TED,não
281.75,21,Recife,Cartão Débito,não
51.96,5,Rio de Janeiro,Boleto,não
16.02,13,Recife,Boleto,não
68.43,3,Rio de Janeiro,Boleto,não
35.16,21,Rio de Janeiro,Cartão Crédito,não
530.99,18,Rio de Janeiro,Cartão Débito,não
,22,Salvador,Boleto,não
200.7,6,Salvador,TED,não
410.3,3,Porto Alegre,Pix,não
325.59,1,Brasília,TED,não
41.3,6,Recife,Pix,não
446.16,2,São Paulo,Pix,não
155.02,14,Rio de Janeiro,Boleto,sim
329.47,0,Porto Alegre,Boleto,não
452.85,1,São Paulo,Pix,não
76.55,9,Salvador,Cartão Débito,não
23.32,15,Brasília,TED,não
51.74,14,Recife,Boleto,não
111.41,23,Salvador,Cartão Crédito,sim
340.77,14,Porto Alegre,Boleto,não
394.27,13,Rio de Janeiro,Pix,não
1.4,21,Rio de Janeiro,Cartão Crédito,não
142.98,13,Rio de Janeiro,Pix,não
108.05,5,Porto Alegre,Boleto,não
50.23,13,Salvador,Pix,não
25.54,16,São Paulo,Boleto,não
82.38,17,Brasília,Pix,não
572.62,19,Recife,Cartão Crédito,não
78.08,18,Brasília,Pix,sim
146.29,16,Salvador,Cartão Crédito,não
242.82,15,Rio de Janeiro,Cartão Crédito,não
90.39,7,Brasília,TED,não
713.56,6,São Paulo,TED,não
656.4,19,Curitiba,Cartão Crédito,não
58.01,11,Salvador,Pix,não
137.53,8,Curitiba,Pix,não
71.59,13,Recife,Pix,sim
67.05,19,Recife,Boleto,não
7.52,0,Brasília,Pix,não
188.1,9,Recife,Pix,não
139.7,16,Salvador,Boleto,não
10.57,16,Porto Alegre,Pix,não
65.33,16,São Paulo,Pix,não
477.77,3,Rio de Janeiro,Cartão Débito,não
54.77,16,Rio de Janeiro,Boleto,não
31.31,17,Brasília,Pix,não
134.45,19,Rio de Janeiro,Pix,não
848.81,22,Brasília,Boleto,não
55.43,1,Recife,Pix,não
223.03,7,Recife,Cartão Débito,não
286.78,12,Porto Alegre,Boleto,não
54.27,22,Porto Alegre,Cartão Débito,não
260.55,21,São Paulo,Cartão Crédito,não
91.7,19,Rio de Janeiro,TED,não
200.1,21,Salvador,Boleto,não
200.77,14,Porto Alegre,Cartão Crédito,sim
153.48,19,São Paulo,Boleto,não
18.93,22,Curitiba,Pix,não
360.73,8,Porto Alegre,TED,não
77.36,2,São Paulo,Pix,não
41.29,2,Brasília,Cartão Crédito,não
8.33,1,Brasília,Boleto,não
178.76,0,São Paulo,Cartão Débito,não
226.37,13,Recife,Boleto,não
3.35,16,Curitiba,Cartão Crédito,não
143.53,12,São Paulo,Pix,sim
51.36,18,Porto Alegre,Pix,não
207.22,22,Recife,Cartão Débito,não
,14,São Paulo,Cartão Crédito,não
234.84,13,Rio de Janeiro,Boleto,não
97.79,1,Porto Alegre,Pix,não
552.07,6,Porto Alegre,Boleto,não
29.59,16,Brasília,Cartão Crédito,não
83.43,17,Rio de Janeiro,Pix,não
24.09,5,Rio de Janeiro,Cartão Crédito,não
517.24,20,Porto Alegre,TED,não
419.67,7,Curitiba,Pix,não
59.67,1,Salvador,Cartão Crédito,não
215.75,0,Recife,Pix,não
339.9,15,Brasília,Pix,não
162.03,6,Rio de Janeiro,Cartão Crédito,não
150.86,21,Brasília,Cartão Crédito,não
55.38,23,Porto Alegre,Pix,não
19.55,10,Recife,Cartão Débito,não
455.02,14,São Paulo,Pix,não
461.35,12,Rio de Janeiro,Cartão Débito,não
200.53,23,Recife,Cartão Crédito,sim
82.81,1,Salvador,TED,não
85.91,13,Brasília,Pix,não
258.89,23,Porto Alegre,Pix,não
454.82,5,Recife,Pix,não
436.23,8,São Paulo,Boleto,não
302.71,6,Recife,TED,não
205.46,17,Porto Alegre,Pix,não
17.58,23,Brasília,Cartão Crédito,não
35.26,8,Rio de Janeiro,Pix,não
457.65,22,Salvador,Boleto,não
186.5,3,Salvador,Pix,não
1.85,8,Rio de Janeiro,Cartão Crédito,não
21.4,3,Curitiba,Boleto,não
217.83,11,Brasília,Cartão Crédito,não
1.01,3,Salvador,Pix,não
35.06,23,Curitiba,Pix,não
159.14,19,Curitiba,Pix,não
235.46,13,Porto Alegre,Pix,não
211.09,23,Porto Alegre,Pix,não
50.79,23,Porto Alegre,Boleto,não
249.08,6,Desconhecido,Boleto,não
54.16,12,Brasília,Cartão Crédito,sim
78.73,21,Rio de Janeiro,TED,não
274.47,7,Brasília,DOC,não
209.75,22,Porto Alegre,Cartão Débito,não
378.39,4,São Paulo,DOC,sim
214.36,11,Brasília,Boleto,não
168.01,12,Brasília,Cartão Débito,não
19.67,19,Curitiba,Cartão Débito,sim
91.68,13,Brasília,TED,não
61.63,17,Curitiba,Boleto,não
55.94,23,Curitiba,TED,não
722.46,19,Recife,Cartão Crédito,não
99.88,3,Porto Alegre,Cartão Débito,não
445.21,20,Salvador,Pix,não
199.47,17,São Paulo,Cartão Crédito,não
316.77,6,Curitiba,Boleto,sim
139.69,14,Brasília,Pix,não
172.03,20,Curitiba,Cartão Crédito,não
135.66,5,Curitiba,TED,não
43.44,15,Curitiba,Pix,não
256.35,19,Rio de Janeiro,Cartão Débito,não
65.92,23,Salvador,TED,não
4.92,7,Salvador,DOC,sim
207.39,20,Rio de Janeiro,Cartão Crédito,não
38.99,15,Rio de Janeiro,Cartão Débito,sim
564.22,21,Rio de Janeiro,Cartão Crédito,sim
615.51,15,Salvador,DOC,sim
492.7,2,Recife,DOC,não
92.46,16,Curitiba,Pix,não
3.12,8,Recife,TED,não
527.1,2,Brasília,Cartão Débito,sim
111.79,19,Salvador,Cartão Crédito,não
680.17,6,Porto Alegre,Pix,sim
662.75,17,Salvador,Pix,não
383.48,11,São Paulo,Cartão Débito,não
69.76,18,Recife,Cartão Crédito,não
97.26,15,Rio de Janeiro,TED,não
380.95,21,Rio de Janeiro,Boleto,não
76.23,23,Brasília,Pix,não
37.14,16,Curitiba,Cartão Crédito,não
162.75,19,São Paulo,Boleto,não
550.26,14,Recife,Boleto,não
238.17,0,Curitiba,TED,não
168.82,1,Curitiba,TED,não
20.45,7,Porto Alegre,Pix,não
190.91,21,Porto Alegre,Cartão Débito,não
922.11,1,Recife,Cartão Débito,sim
30.18,18,Recife,Cartão Crédito,não
,8,Recife,Cartão Débito,sim
419.72,8,Recife,Boleto,não
270.01,12,Rio de Janeiro,Pix,não
238.81,5,Salvador,Cartão Crédito,não
242.46,14,Salvador,Pix,não
89.1,18,Curitiba,TED,sim
69.51,20,Salvador,Pix,não
331.47,14,Curitiba,TED,não
332.27,17,Rio de Janeiro,Boleto,não
403.59,6,Salvador,Pix,não
488.92,10,Curitiba,Pix,não
143.22,7,Recife,Boleto,não
139.24,5,São Paulo,Cartão Crédito,não
320.19,7,Salvador,Boleto,não
209.94,1,Porto Alegre,Pix,não
242.11,18,Porto Alegre,TED,não
317.72,15,Curitiba,Cartão Crédito,sim
441.46,6,São Paulo,Boleto,não
82.5,9,Porto Alegre,Indefinido,não
94.19,11,Salvador,Cartão Débito,não
19.74,16,São Paulo,Indefinido,não
172.68,6,Rio de Janeiro,Pix,não
7.32,21,Brasília,TED,não
125.32,7,Curitiba,Pix,sim
156.46,6,Rio de Janeiro,Cartão Débito,não
67.53,3,Rio de Janeiro,Pix,não
178.73,2,São Paulo,Pix,não
6.2,18,Curitiba,TED,sim
7.61,14,Rio de Janeiro,TED,não
345.87,3,Recife,Pix,não
89.32,8,Rio de Janeiro,Pix,não
27.18,12,Recife,Pix,não
147.73,17,Brasília,Boleto,não
293.93,20,Recife,Cartão Crédito,não
48.62,15,Recife,Boleto,sim
195.04,0,São Paulo,Indefinido,não
17.84,3,Rio de Janeiro,TED,não
10.61,17,Brasília,Cartão Crédito,não
151.58,7,Rio de Janeiro,TED,não
155.58,19,Salvador,Pix,não
202.91,15,Salvador,Boleto,não
258.99,20,Recife,Boleto,não
744.71,10,Porto Alegre,TED,não
145.26,19,Recife,Indefinido,não
78.0,20,Rio de Janeiro,Pix,não
317.13,20,Brasília,Cartão Crédito,não
63.17,20,Porto Alegre,Pix,não
115.6,18,Brasília,Boleto,não
16.34,22,São Paulo,Pix,sim
5.14,18,Recife,Pix,não
657.48,17,Recife,Pix,não
361.55,18,Salvador,Pix,não
238.13,10,São Paulo,Pix,não
105.17,2,Salvador,Boleto,não
38.06,7,Rio de Janeiro,TED,não
34.02,19,Recife,Cartão Crédito,não
57.6,18,Rio de Janeiro,Pix,não
159.36,9,Brasília,Cartão Crédito,não
250.77,15,Porto Alegre,Cartão Débito,não
215.88,4,Porto Alegre,Pix,não
65.68,19,Porto Alegre,Cartão Débito,não
619.62,8,Salvador,Pix,não
267.8,7,Curitiba,Boleto,não
161.65,10,São Paulo,Pix,não
189.21,15,Porto Alegre,DOC,não
108.81,6,Recife,DOC,não
56.93,14,São Paulo,TED,não
88.0,23,Brasília,Cartão Crédito,não
283.64,20,Brasília,Boleto,não
2.9,19,Salvador,DOC,não
24.68,22,Brasília,Cartão Débito,sim
9.42,16,Brasília,Cartão Débito,não
8.32,5,Curitiba,Cartão Débito,não
386.84,14,Rio de Janeiro,Cartão Crédito,sim
243.25,7,Rio de Janeiro,Pix,não
128.56,6,Porto Alegre,Indefinido,não
20.59,1,Curitiba,Pix,não
135.3,12,Salvador,Cartão Débito,sim
128.29,22,Rio de Janeiro,Pix,não
38.04,5,Salvador,TED,não
113.78,4,Salvador,Pix,sim
101.67,19,Brasília,Pix,não
191.34,0,Rio de Janeiro,Pix,não
201.62,17,São Paulo,Boleto,não
9.27,14,Porto Alegre,Pix,não
93.88,22,Rio de Janeiro,Boleto,não
196.62,9,São Paulo,Cartão Crédito,não
139.89,2,Recife,Cartão Crédito,não
388.27,4,São Paulo,Pix,não
214.99,23,São Paulo,Cartão Débito,não
35.57,12,Brasília,Cartão Crédito,não
14.64,7,Brasília,Pix,não
205.68,21,Porto Alegre,Cartão Crédito,não
5.37,20,Brasília,Cartão Crédito,não
176.27,1,São Paulo,TED,não
563.45,8,Curitiba,Pix,sim
171.36,16,Brasília,Boleto,sim
98.26,17,Brasília,Cartão Crédito,não
206.17,12,São Paulo,Pix,não
122.59,0,Recife,Boleto,não
157.76,11,Recife,TED,não
567.63,19,Rio de Janeiro,Boleto,sim
97.59,19,Porto Alegre,TED,não
649.82,20,Recife,Pix,não
471.52,4,Brasília,Cartão Crédito,não
43.58,7,Curitiba,Cartão Crédito,não
14.38,14,Rio de Janeiro,Pix,não
21.25,2,Porto Alegre,TED,não
3.68,5,Curitiba,Boleto,não
19.84,12,Curitiba,Cartão Crédito,não
229.77,11,Brasília,Boleto,não
14.77,18,São Paulo,DOC,não
76.83,17,São Paulo,Cartão Débito,não
372.71,23,São Paulo,Cartão Crédito,sim
4.71,0,Recife,Pix,não
336.91,6,São Paulo,Boleto,não
66.22,11,Porto Alegre,TED,não
25.15,9,Brasília,Cartão Crédito,não
238.63,11,Recife,Pix,não
198.28,10,Porto Alegre,TED,não
419.88,3,São Paulo,Pix,não
265.66,18,Porto Alegre,Pix,não
325.4,5,Curitiba,TED,não
66.27,8,Brasília,Boleto,não
39.07,19,Brasília,TED,não
277.75,9,Porto Alegre,Boleto,não
328.84,4,Rio de Janeiro,Boleto,não
931.4,12,Brasília,Boleto,não
106.42,8,Curitiba,DOC,sim
93.05,1,Brasília,Pix,não
299.59,17,Rio de Janeiro,Pix,não
83.35,20,Brasília,Cartão Crédito,não
,0,Salvador,DOC,sim
390.97,23,Brasília,Cartão Crédito,não
112.07,20,Rio de Janeiro,Boleto,não
277.96,11,Salvador,Pix,não
280.93,9,Salvador,Cartão Crédito,não
21.77,1,Brasília,Pix,sim
465.69,8,Porto Alegre,Cartão Débito,não
140.74,1,Recife,Pix,não
350.27,22,Salvador,DOC,não
,23,Porto Alegre,Pix,não
451.76,21,Brasília,Cartão Crédito,não
98.6,13,São Paulo,Cartão Débito,não
2.18,10,São Paulo,Pix,não
471.58,22,Recife,Pix,não
19.15,10,Salvador,Pix,não
76.93,16,Brasília,Cartão Crédito,não
599.39,3,Curitiba,Pix,sim
601.59,12,Salvador,Boleto,não
170.4,6,Brasília,Pix,não
199.85,15,São Paulo,Cartão Crédito,sim
119.0,0,Rio de Janeiro,DOC,não
69.4,12,Recife,Cartão Crédito,não
79.7,0,Rio de Janeiro,Cartão Crédito,não
223.26,10,Curitiba,Pix,não
279.17,5,Brasília,Boleto,sim
313.64,19,Curitiba,Boleto,não
311.77,2,Rio de Janeiro,DOC,não
19.13,11,Brasília,Pix,não
136.41,4,Salvador,Cartão Crédito,não
11.86,8,Porto Alegre,Cartão Débito,não
159.49,11,Porto Alegre,Cartão Débito,não
116.51,9,Salvador,Cartão Crédito,não
437.32,18,Curitiba,TED,não
86.44,4,Porto Alegre,Pix,não
24.9,4,Porto Alegre,Pix,não
30.86,8,São Paulo,TED,não
286.69,19,Porto Alegre,Pix,não
192.58,16,São Paulo,Pix,sim
21.32,9,Recife,Cartão Crédito,não
17.57,20,São Paulo,Cartão Débito,não
241.44,0,São Paulo,Cartão Débito,não
15.11,21,Rio de Janeiro,Pix,não
345.04,15,São Paulo,Cartão Débito,não
245.0,14,São Paulo,Pix,não
16.97,22,Rio de Janeiro,DOC,não
17.73,16,São Paulo,Boleto,não
863.09,19,Porto Alegre,TED,não
93.77,12,Salvador,Cartão Débito,não
92.61,0,São Paulo,Pix,não
335.12,7,Recife,DOC,não
588.43,4,São Paulo,Pix,sim
853.75,5,São Paulo,Cartão Crédito,sim
279.98,22,Recife,TED,não
94.4,19,Salvador,Cartão Crédito,não
17.44,13,Rio de Janeiro,Boleto,sim
300.25,21,Porto Alegre,Boleto,não
163.47,22,Salvador,DOC,não
110.41,10,São Paulo,Pix,não
473.65,5,Porto Alegre,Boleto,não
23.58,10,Curitiba,Cartão Débito,não
135.7,12,Porto Alegre,Cartão Crédito,não
2.28,11,Rio de Janeiro,Pix,não
126.47,21,Rio de Janeiro,Pix,não
11.59,1,Salvador,TED,não
25.3,20,São Paulo,Cartão Crédito,não
25.01,2,Recife,Pix,não
209.51,22,Rio de Janeiro,Cartão Crédito,sim
274.12,3,Recife,Cartão Débito,não
175.11,16,Salvador,TED,não
654.94,21,Salvador,Pix,não
93.96,5,Curitiba,Cartão Débito,não
67.29,6,Recife,TED,não
405.9,14,Salvador,TED,não
50.62,10,Salvador,TED,não
660.57,23,Salvador,TED,não
2.45,2,Brasília,Boleto,não
,5,Salvador,TED,sim
8.82,1,Salvador,Pix,não
443.54,13,Recife,Cartão Crédito,não
150.03,8,Rio de Janeiro,Pix,não
991.37,17,Recife,Pix,não
15.33,18,Recife,Boleto,não
161.42,11,Brasília,Cartão Crédito,não
696.72,12,Brasília,Pix,não
148.09,11,São Paulo,Pix,não
198.53,11,Rio de Janeiro,Boleto,não
237.98,17,Salvador,Boleto,não
121.23,8,São Paulo,TED,não
197.53,16,Salvador,Pix,não
175.57,20,Salvador,Pix,não
462.85,15,Brasília,Cartão Crédito,não
9.3,16,Salvador,TED,não
65.97,20,Salvador,Cartão Crédito,não
600.8,23,Recife,Boleto,não
441.94,7,Brasília,Boleto,não
121.64,10,Curitiba,Cartão Débito,não
193.59,23,Recife,Pix,não
64.97,1,São Paulo,DOC,não
41.68,7,Recife,Pix,não
124.61,11,Curitiba,TED,não
87.19,20,Brasília,Pix,não
175.25,0,Rio de Janeiro,Pix,não
16.18,22,Salvador,Cartão Débito,não
732.99,12,Porto Alegre,Boleto,não
856.77,21,Rio de Janeiro,Cartão Crédito,não
239.57,20,Rio de Janeiro,TED,não
153.62,16,Salvador,Boleto,não
74.08,13,Brasília,Indefinido,não
336.18,13,Rio de Janeiro,TED,sim
230.87,15,Curitiba,Boleto,não
35.49,16,Salvador,Pix,não
483.66,5,Brasília,Cartão Crédito,não
345.8,6,Rio de Janeiro,Pix,não
598.35,0,Salvador,TED,sim
258.72,14,Porto Alegre,DOC,não
190.08,19,São Paulo,Cartão Débito,não
108.34,20,Brasília,Pix,não
539.8,17,Brasília,Boleto,não
402.08,12,Recife,DOC,sim
9.25,23,Salvador,Pix,não
5.34,1,Rio de Janeiro,Boleto,não
94.47,18,São Paulo,Pix,não
332.73,14,Salvador,Pix,não
872.86,11,Porto Alegre,Pix,não
32.6,14,Curitiba,Cartão Crédito,não
180.34,17,Brasília,Pix,não
95.89,13,Curitiba,TED,não
700.74,5,Curitiba,Pix,sim
369.18,11,Curitiba,Pix,não
364.44,19,Recife,Pix,sim
126.48,22,Salvador,TED,não
107.17,5,Curitiba,Pix,não
63.88,8,Rio de Janeiro,Pix,não
11.61,3,Rio de Janeiro,Cartão Crédito,sim
400.09,16,São Paulo,DOC,não
335.22,1,São Paulo,Pix,não
1634.49,15,Porto Alegre,TED,não
1138.97,23,Curitiba,Pix,não
162.13,13,Curitiba,Boleto,sim
293.06,7,Recife,Pix,sim
579.23,13,Salvador,Pix,não
378.95,1,Curitiba,Pix,não
56.83,15,Curitiba,Pix,não
119.77,3,Salvador,Cartão Crédito,não
27.66,0,Curitiba,Pix,não
616.04,22,Brasília,Pix,não
186.37,19,Brasília,DOC,não
51.92,13,Recife,Boleto,não
222.77,7,Recife,Pix,não
192.53,2,Rio de Janeiro,Pix,não
88.68,4,Recife,Pix,não
24.11,5,Porto Alegre,Pix,não
222.69,21,Rio de Janeiro,Pix,não
146.92,7,Salvador,Pix,não
295.96,5,Curitiba,Boleto,sim
146.86,5,Recife,Cartão Débito,não
382.35,3,Porto Alegre,Boleto,não
160.55,6,Recife,TED,não
164.62,23,Recife,Boleto,não
418.55,18,Rio de Janeiro,Boleto,não
103.33,6,Salvador,Cartão Crédito,não
28.78,2,Salvador,Boleto,não
5.84,7,Rio de Janeiro,Boleto,não
281.41,0,São Paulo,Pix,não
193.68,0,Rio de Janeiro,TED,sim
243.53,13,Rio de Janeiro,Pix,não
47.9,5,Brasília,Pix,não
29.32,9,Recife,Pix,não
2.93,13,Rio de Janeiro,TED,não
86.34,3,Recife,Boleto,não
178.28,5,Recife,Cartão Débito,não
99.6,15,Brasília,Pix,não
115.06,20,Recife,Pix,não
469.01,0,Porto Alegre,Cartão Crédito,não
85.62,5,Rio de Janeiro,Cartão Débito,não
144.31,8,Recife,TED,não
306.17,14,São Paulo,Pix,não
101.02,11,São Paulo,TED,sim
194.62,2,Brasília,Pix,não
396.63,10,Porto Alegre,Cartão Crédito,não
597.24,14,Salvador,Cartão Crédito,sim
31.82,2,Salvador,Pix,não
522.33,13,Rio de Janeiro,Cartão Crédito,não
135.5,1,Brasília,Boleto,não
59.75,3,São Paulo,Cartão Débito,não
122.92,18,Porto Alegre,Cartão Débito,não
782.73,11,Rio de Janeiro,Pix,não
135.7,1,Recife,Pix,não
79.72,16,Rio de Janeiro,DOC,não
200.7,2,Curitiba,Cartão Débito,não
54.93,9,Rio de Janeiro,Cartão Débito,não
15.78,15,Recife,Boleto,não
27.6,21,Curitiba,Pix,não
27.4,8,Salvador,Pix,não
32.95,10,Porto Alegre,Cartão Crédito,não
29.89,20,Brasília,Boleto,não
204.82,14,Porto Alegre,DOC,não
40.15,2,Rio de Janeiro,TED,não
84.83,15,Salvador,Cartão Crédito,não
454.19,20,Brasília,Cartão Crédito,não
128.48,20,Rio de Janeiro,Pix,não
220.26,20,São Paulo,Pix,não
37.83,11,São Paulo,Boleto,não
42.71,22,Recife,Cartão Débito,não
8.35,4,Salvador,Pix,não
37.01,6,Salvador,Pix,não
65.31,8,Porto Alegre,Pix,não
38.96,20,São Paulo,Pix,não
18.58,17,Curitiba,Pix,não
25.71,20,Curitiba,Boleto,não
123.53,7,Salvador,Pix,não
46.22,11,Salvador,Boleto,não
90.6,19,Rio de Janeiro,Pix,não
140.0,1,Salvador,Pix,não
234.49,9,Brasília,DOC,não
8.02,18,Curitiba,DOC,não
321.3,8,Rio de Janeiro,Pix,não
197.72,23,Brasília,Cartão Crédito,não
17.06,7,Salvador,Pix,não
413.63,23,Salvador,TED,não
507.34,23,São Paulo,Boleto,não
12.6,23,Rio de Janeiro,Cartão Crédito,não
64.84,0,Brasília,TED,não
328.19,5,Recife,TED,não
275.87,11,Salvador,Boleto,não
40.8,23,Porto Alegre,Pix,não
46.98,18,Porto Alegre,Cartão Crédito,não
92.56,16,Salvador,Pix,não
132.53,1,Recife,Cartão Crédito,não
192.6,10,Curitiba,Pix,não
92.06,17,Porto Alegre,Cartão Débito,não
,22,Brasília,Pix,sim
275.25,21,Salvador,Cartão Crédito,sim
7.47,10,Salvador,TED,não
58.19,17,Salvador,Pix,sim
249.9,7,Recife,Pix,não
451.15,14,Curitiba,Cartão Crédito,não
143.36,8,Rio de Janeiro,Pix,sim
151.91,14,Salvador,Pix,não
22.67,6,Rio de Janeiro,Pix,não
118.63,19,Brasília,Cartão Débito,não
152.12,12,Brasília,Pix,não
55.54,12,Brasília,Pix,não
62.73,0,Porto Alegre,Cartão Débito,sim
94.73,19,Brasília,Cartão Débito,sim
4.06,3,Salvador,Pix,não
77.74,23,Recife,Cartão Crédito,não
47.51,3,Recife,Pix,não
79.35,3,Curitiba,Pix,não
25.51,12,Recife,Cartão Crédito,não
442.42,1,Porto Alegre,Cartão Crédito,sim
180.08,22,Rio de Janeiro,Pix,não
227.33,14,Curitiba,Pix,não
311.34,3,Recife,Pix,não
138.01,5,Brasília,Cartão Crédito,não
18.19,2,Recife,Cartão Débito,não
154.05,6,São Paulo,Pix,não
176.78,5,Curitiba,Cartão Crédito,não
273.64,2,Salvador,Pix,não
113.01,3,Salvador,Boleto,não
27.3,9,Porto Alegre,Pix,não
66.75,20,Recife,Boleto,não
90.22,8,Recife,Pix,não
207.64,5,Porto Alegre,Cartão Débito,não
169.16,19,Rio de Janeiro,Pix,não
88.04,10,Brasília,TED,não
861.24,6,Brasília,Cartão Crédito,não
186.17,17,Rio de Janeiro,TED,não
54.16,3,Rio de Janeiro,Pix,não
21.47,4,São Paulo,DOC,não
33.18,3,Porto Alegre,Cartão Crédito,não
56.46,3,Curitiba,TED,não
35.03,12,Brasília,Pix,não
41.3,15,Rio de Janeiro,TED,não
67.12,13,Rio de Janeiro,Cartão Débito,não
38.08,10,Desconhecido,Pix,não
454.15,1,Salvador,TED,não
16.73,21,Curitiba,Boleto,não
148.68,13,Rio de Janeiro,Pix,não
105.66,23,Salvador,Pix,não
807.73,23,São Paulo,Cartão Débito,sim
23.77,6,Curitiba,Pix,não
101.45,10,Salvador,Cartão Crédito,não
697.81,3,São Paulo,Cartão Crédito,sim
401.25,6,Recife,Pix,não
339.73,15,Brasília,Pix,não
59.66,5,Rio de Janeiro,Cartão Débito,não
37.48,5,Salvador,Cartão Crédito,não
220.91,1,Curitiba,Pix,não
530.08,23,São Paulo,Pix,não
162.73,7,Brasília,Boleto,não
169.55,6,Brasília,TED,não
65.7,23,Rio de Janeiro,DOC,não
293.49,13,Salvador,Cartão Débito,não
41.42,8,Brasília,TED,sim
78.22,14,Rio de Janeiro,Cartão Crédito,não
110.83,21,Salvador,Boleto,não
141.7,17,Salvador,Pix,não
55.52,11,Recife,Cartão Crédito,não
24.4,22,Rio de Janeiro,DOC,não
188.64,18,Porto Alegre,Pix,não
68.11,12,São Paulo,Pix,não
174.09,6,Porto Alegre,Boleto,não
33.53,9,Salvador,Boleto,não
,9,Salvador,Cartão Débito,não
152.11,1,Brasília,Cartão Crédito,não
10.64,13,Brasília,Pix,não
82.08,12,Brasília,Cartão Crédito,não
28.87,21,Salvador,Pix,não
13.09,5,Rio de Janeiro,Pix,sim
920.24,8,Curitiba,Pix,não
77.83,12,Rio de Janeiro,Boleto,não
332.01,8,São Paulo,Pix,não
