idade,sexo,frequencia_semanal_treino,tipo_atividade,tempo_medio_exercicio,minutos_totais_semana,preco_plano,possui_nutricionista,primeiro_PGC,ultimo_PGC,data_matricula,estado,estado_nome,estado_num,dias_desde_matricula,imc_estimado,evolucao_pgc
56,F,5.0,musculação,82.7,413.5,200.92,Não,27.1,32.0,2020-07-19,Ativa,Ativa,1,1882,25.07,-4.899999999999999
34,F,6.0,cardio,113.9,683.4,117.6,Sim,14.0,31.7,2024-07-04,Ativa,Ativa,1,436,21.59,-17.7
45,M,6.0,cardio,70.55,203.5,245.24,Não,22.7,20.6,2022-08-27,Ativa,Ativa,1,1113,13.5,2.099999999999998
25,M,3.0,musculação,63.7,191.1,97.23,Sim,30.0,23.5,2022-04-02,Ativa,Ativa,1,1260,13.870000000000001,6.5
63,O,7.0,natação,70.55,203.5,266.84,Não,32.2,27.7,2021-11-21,Ativa,Ativa,1,1392,18.9,4.5000000000000036
62,M,5.0,natação,61.1,305.5,112.43,Sim,39.3,16.8,2020-07-21,Ativa,Ativa,1,1880,24.709999999999997,22.499999999999996
42,F,7.0,musculação,95.2,666.4,254.19,Não,10.4,15.1,2024-12-31,Ativa,Ativa,1,256,22.12,-4.699999999999999
59,F,6.0,crossfit,44.1,264.6,138.08,Não,15.0,35.4,2024-03-23,Ativa,Ativa,1,539,22.11,-20.4
63,O,0.0,crossfit,45.9,0.0,207.14,Sim,27.0,37.7,2023-03-07,Sedentária,Sedentária,0,921,23.49,-10.700000000000003
53,F,3.0,yoga,86.5,259.5,258.39,Não,30.0,39.9,2024-03-03,Ativa,Ativa,1,559,24.549999999999997,-9.899999999999999
57,F,0.0,musculação,116.5,0.0,237.93,Sim,38.7,29.1,2023-12-22,Sedentária,Sedentária,0,631,28.75,9.600000000000001
35,M,3.0,yoga,32.4,97.2,62.93,Não,11.3,30.0,2025-01-20,Ativa,Ativa,1,236,13.74,-18.7
53,M,6.0,cardio,60.9,365.4,205.06,Sim,11.3,14.8,2020-12-21,Ativa,Ativa,1,1727,21.99,-3.5
39,O,0.0,crossfit,23.9,0.0,142.83,Não,16.3,19.3,2025-07-31,Sedentária,Sedentária,0,44,14.09,-3.0
61,M,4.0,crossfit,24.6,98.4,82.94,Não,32.0,16.4,2020-11-07,Ativa,Ativa,1,1771,20.76,15.600000000000001
30,M,4.0,musculação,70.0,280.0,266.74,Sim,20.8,29.8,2023-10-17,Ativa,Ativa,1,697,16.0,-9.0
30,F,2.0,cardio,82.5,165.0,237.74,Não,17.2,19.3,2025-07-23,Ativa,Ativa,1,52,17.25,-2.1000000000000014
21,F,0.0,futebol,69.7,0.0,132.41,Sim,13.4,35.0,2023-03-31,Sedentária,Sedentária,0,897,13.27,-21.6
64,F,4.0,futebol,47.8,191.2,83.66,Não,39.8,24.9,2021-03-25,Ativa,Ativa,1,1633,23.98,14.899999999999999
28,O,0.0,crossfit,83.8,0.0,64.35,Não,11.5,20.5,2023-10-07,Sedentária,Sedentária,0,707,16.78,-9.0
64,M,7.0,crossfit,53.2,372.4,184.36,Não,21.5,21.8,2024-06-23,Ativa,Ativa,1,447,24.52,-0.3000000000000007
63,O,2.0,crossfit,116.4,232.8,214.37,Sim,35.9,24.4,2025-03-26,Ativa,Ativa,1,171,30.54,11.5
29,F,2.0,crossfit,85.8,171.6,176.56,Sim,15.1,32.6,2022-03-08,Ativa,Ativa,1,1285,17.28,-17.5
41,M,6.0,musculação,57.3,343.8,235.76,Sim,13.6,37.6,2023-04-05,Ativa,Ativa,1,892,18.03,-24.0
43,F,1.0,crossfit,47.1,47.1,165.95,Não,36.0,12.8,2020-04-17,Ativa,Ativa,1,1975,17.61,23.2
54,M,4.0,crossfit,91.4,203.5,284.36,Não,20.6,26.4,2021-02-28,Sedentária,Sedentária,0,1658,25.34,-5.799999999999997
29,M,2.0,musculação,113.0,226.0,247.27,Sim,36.6,19.1,2024-04-08,Ativa,Ativa,1,523,20.0,17.5
40,F,6.0,musculação,80.4,482.4,173.46,Sim,25.1,35.4,2025-03-07,Ativa,Ativa,1,190,20.04,-10.299999999999997
18,O,7.0,cardio,62.9,440.3,199.37,Não,16.8,36.0,2021-11-08,Ativa,Ativa,1,1405,11.69,-19.2
31,M,6.0,natação,89.9,539.4,284.14,Sim,39.3,17.6,2025-06-11,Ativa,Ativa,1,94,18.29,21.699999999999996
54,F,2.0,futebol,110.6,221.2,293.1,Não,32.1,10.2,2025-04-08,Ativa,Ativa,1,158,27.259999999999998,21.900000000000002
53,O,4.0,futebol,73.4,293.6,218.65,Não,33.1,22.5,2022-04-16,Ativa,Ativa,1,1246,23.24,10.600000000000001
44,M,5.0,crossfit,63.0,315.0,197.3,Não,33.4,13.6,2021-10-09,Ativa,Ativa,1,1435,19.5,19.799999999999997
56,M,7.0,yoga,87.5,612.5,264.61,Sim,30.3,27.0,2025-04-26,Ativa,Ativa,1,140,25.55,3.3000000000000007
37,F,5.0,futebol,60.5,302.5,74.13,Não,28.3,15.2,2020-03-28,Ativa,Ativa,1,1995,17.15,13.100000000000001
34,O,7.0,yoga,96.0,672.0,133.92,Não,31.4,24.8,2023-01-05,Ativa,Ativa,1,982,19.8,6.599999999999998
60,O,5.0,yoga,47.7,238.5,119.36,Não,31.2,18.9,2022-07-17,Ativa,Ativa,1,1154,22.77,12.3
35,M,6.0,natação,87.8,526.8,67.0,Não,27.0,34.7,2021-10-19,Ativa,Ativa,1,1425,19.28,-7.700000000000003
53,O,3.0,crossfit,65.7,197.1,109.02,Sim,20.2,17.1,2023-05-17,Ativa,Ativa,1,850,22.47,3.099999999999998
59,F,2.0,crossfit,38.0,76.0,121.55,Não,39.4,35.0,2022-01-10,Ativa,Ativa,1,1342,21.5,4.399999999999999
20,O,4.0,crossfit,22.1,203.5,213.46,Sim,35.3,25.3,2025-07-27,Sedentária,Sedentária,0,48,8.21,9.999999999999996
55,M,2.0,futebol,117.7,235.4,246.02,Não,11.3,16.4,2021-07-29,Ativa,Ativa,1,1507,28.270000000000003,-5.099999999999998
41,M,2.0,crossfit,42.3,84.6,286.25,Sim,36.4,36.3,2022-03-17,Ativa,Ativa,1,1276,16.529999999999998,0.10000000000000142
56,O,4.0,crossfit,44.3,177.2,91.67,Sim,31.2,38.0,2021-02-20,Ativa,Ativa,1,1666,21.23,-6.800000000000001
33,O,4.0,crossfit,70.55,203.5,60.35,Não,17.9,33.2,2025-09-08,Ativa,Ativa,1,5,9.9,-15.300000000000004
36,O,4.0,futebol,51.7,206.8,221.25,Não,25.3,38.0,2021-03-10,Ativa,Ativa,1,1648,15.969999999999999,-12.7
23,F,3.0,crossfit,36.8,110.4,286.46,Sim,20.6,31.9,2021-07-30,Ativa,Ativa,1,1506,10.579999999999998,-11.299999999999997
25,O,5.0,futebol,34.9,174.5,270.0,Não,23.3,31.8,2022-03-20,Ativa,Ativa,1,1273,10.99,-8.5
37,M,5.0,crossfit,47.4,237.0,74.58,Sim,36.1,11.4,2022-08-13,Ativa,Ativa,1,1127,15.84,24.700000000000003
38,M,7.0,musculação,51.6,361.2,267.99,Sim,35.0,19.5,2023-05-31,Ativa,Ativa,1,836,16.560000000000002,15.5
33,M,3.0,cardio,70.7,212.1,56.83,Não,39.5,19.5,2022-03-10,Ativa,Ativa,1,1283,16.97,20.0
33,F,1.0,cardio,73.1,73.1,247.24,Sim,14.8,12.4,2020-07-12,Ativa,Ativa,1,1889,17.21,2.4000000000000004
18,O,7.0,cardio,70.55,203.5,155.25,Não,23.6,21.8,2020-11-08,Ativa,Ativa,1,1770,5.3999999999999995,1.8000000000000007
27,M,1.0,natação,58.0,58.0,170.14,Não,39.2,22.4,2023-12-12,Ativa,Ativa,1,641,13.9,16.800000000000004
45,O,0.0,crossfit,88.5,0.0,86.94,Sim,29.6,27.8,2023-04-14,Sedentária,Sedentária,0,883,22.35,1.8000000000000007
43,F,2.0,musculação,31.9,63.8,54.78,Não,21.7,39.6,2021-08-14,Ativa,Ativa,1,1491,16.09,-17.900000000000002
37,O,4.0,futebol,21.8,87.2,292.44,Não,30.6,26.0,2023-03-05,Ativa,Ativa,1,923,13.28,4.600000000000001
47,F,1.0,soccer,81.0,81.0,133.92,Não,13.4,10.8,2020-05-28,Ativa,Ativa,1,1934,22.2,2.5999999999999996
18,F,4.0,yoga,34.6,138.4,211.34,Não,19.0,11.6,2022-05-24,Ativa,Ativa,1,1208,8.86,7.4
33,M,5.0,crossfit,23.7,118.5,107.99,Não,37.7,21.4,2024-02-22,Ativa,Ativa,1,569,12.27,16.300000000000004
44,M,5.0,cardio,51.7,258.5,252.38,Não,36.2,24.6,2024-04-22,Ativa,Ativa,1,509,18.37,11.600000000000001
41,M,0.0,cardio,51.6,0.0,227.1,Não,18.9,20.1,2024-05-20,Sedentária,Sedentária,0,481,17.46,-1.2000000000000028
42,O,4.0,musculação,27.1,108.4,63.98,Não,39.0,11.2,2021-07-23,Ativa,Ativa,1,1513,15.31,27.8
38,F,4.0,musculação,41.0,203.5,174.41,Não,32.7,17.9,2022-04-23,Sedentária,Sedentária,0,1239,15.5,14.800000000000004
52,F,0.0,cardio,34.9,0.0,258.48,Não,13.7,28.8,2021-08-21,Sedentária,Sedentária,0,1484,19.09,-15.100000000000001
30,M,5.0,musculação,20.6,103.0,175.49,Não,12.5,15.4,2023-07-18,Ativa,Ativa,1,788,11.06,-2.9000000000000004
52,M,4.0,crossfit,39.7,158.8,249.53,Sim,32.4,28.5,2020-04-08,Ativa,Ativa,1,1984,19.57,3.8999999999999986
49,M,0.0,cardio,75.0,0.0,206.8,Sim,28.2,17.9,2023-07-28,Sedentária,Sedentária,0,778,22.2,10.3
38,O,3.0,cardio,106.8,320.4,273.77,Sim,16.1,18.9,2021-11-07,Ativa,Ativa,1,1406,22.08,-2.799999999999997
52,O,3.0,crossfit,68.9,206.7,122.92,Sim,23.6,21.7,2024-06-17,Ativa,Ativa,1,453,22.490000000000002,1.9000000000000021
22,O,3.0,futebol,77.2,231.6,134.71,Não,29.4,15.7,2023-05-30,Ativa,Ativa,1,837,14.32,13.7
21,M,1.0,futebol,115.7,115.7,247.15,Sim,18.6,17.1,2022-07-06,Ativa,Ativa,1,1165,17.87,1.5
64,O,4.0,crossfit,54.3,217.2,132.65,Sim,14.7,23.2,2023-09-21,Ativa,Ativa,1,723,24.63,-8.5
55,M,2.0,musculação,52.8,105.6,68.84,Não,38.2,29.9,2021-09-05,Ativa,Ativa,1,1469,21.78,8.300000000000004
45,F,0.0,cardio,97.3,0.0,235.39,Sim,18.2,21.3,2021-06-01,Sedentária,Sedentária,0,1565,23.23,-3.1000000000000014
31,M,2.0,yoga,82.1,164.2,165.23,Sim,10.8,37.5,2020-06-13,Ativa,Ativa,1,1918,17.509999999999998,-26.7
29,O,3.0,natação,60.0,180.0,229.87,Não,38.6,19.0,2022-07-08,Ativa,Ativa,1,1163,14.7,19.6
29,M,4.0,cardio,98.7,394.8,215.96,Não,18.2,13.6,2020-06-02,Ativa,Ativa,1,1929,18.57,4.6
50,M,5.0,cardio,106.8,534.0,104.04,Sim,15.9,15.2,2024-12-30,Ativa,Ativa,1,257,25.68,0.7000000000000011
38,F,7.0,cardio,105.0,735.0,186.04,Não,11.0,22.0,2025-02-28,Ativa,Ativa,1,197,21.9,-11.0
18,F,5.0,musculação,116.0,580.0,104.44,Não,21.7,38.2,2021-07-15,Ativa,Ativa,1,1521,17.0,-16.500000000000004
29,M,1.0,yoga,109.8,109.8,64.68,Não,24.5,27.0,2022-06-22,Ativa,Ativa,1,1179,19.68,-2.5
43,O,4.0,futebol,87.0,348.0,78.3,Não,15.2,38.7,2021-06-04,Ativa,Ativa,1,1562,21.6,-23.500000000000004
51,F,2.0,yoga,48.9,97.8,240.18,Não,30.4,38.2,2022-05-28,Ativa,Ativa,1,1204,20.189999999999998,-7.800000000000004
52,O,4.0,futebol,43.2,172.8,223.0,Não,18.6,19.9,2023-11-08,Ativa,Ativa,1,675,19.92,-1.2999999999999972
27,M,0.0,futebol,20.9,0.0,103.76,Sim,18.9,25.3,2022-12-23,Sedentária,Sedentária,0,995,10.19,-6.400000000000002
42,O,6.0,cardio,71.0,426.0,162.15,Não,31.6,26.2,2022-06-17,Ativa,Ativa,1,1184,19.7,5.400000000000002
62,F,2.0,yoga,35.0,70.0,284.59,Não,32.5,12.6,2020-12-06,Ativa,Ativa,1,1742,22.099999999999998,19.9
23,M,4.0,musculação,77.7,310.8,147.17,Sim,27.8,17.4,2025-03-23,Ativa,Ativa,1,174,14.67,10.400000000000002
54,M,4.0,natação,113.1,452.4,196.02,Não,29.9,36.1,2020-11-02,Ativa,Ativa,1,1776,27.509999999999998,-6.200000000000003
64,M,6.0,crossfit,63.8,382.8,290.94,Sim,13.2,27.9,2020-09-22,Ativa,Ativa,1,1817,25.58,-14.7
18,O,5.0,musculação,23.2,116.0,103.56,Não,27.3,37.4,2023-08-08,Ativa,Ativa,1,767,7.719999999999999,-10.099999999999998
38,O,3.0,cardio,64.1,192.3,165.03,Sim,15.9,11.0,2020-03-30,Ativa,Ativa,1,1993,17.810000000000002,4.9
39,F,6.0,natação,48.9,293.4,108.52,Não,18.2,39.0,2022-01-20,Ativa,Ativa,1,1332,16.59,-20.8
24,F,0.0,yoga,34.1,0.0,178.44,Sim,39.7,10.0,2025-08-12,Sedentária,Sedentária,0,32,10.61,29.700000000000003
44,O,1.0,musculação,45.9,45.9,216.86,Não,27.3,10.6,2022-11-13,Ativa,Ativa,1,1035,17.79,16.700000000000003
46,O,5.0,futebol,78.1,390.5,128.02,Não,11.5,29.7,2021-11-18,Ativa,Ativa,1,1395,21.61,-18.2
63,O,4.0,musculação,26.6,203.5,185.37,Sim,25.9,16.9,2021-03-17,Sedentária,Sedentária,0,1641,21.56,9.0
44,M,3.0,yoga,70.55,203.5,288.43,Sim,30.8,32.9,2020-10-17,Ativa,Ativa,1,1792,13.2,-2.099999999999998
47,O,3.0,musculação,25.3,75.9,221.4,Não,17.0,15.7,2024-05-07,Ativa,Ativa,1,494,16.63,1.3000000000000007
36,O,0.0,natação,105.6,0.0,53.2,Não,36.7,33.3,2024-03-02,Sedentária,Sedentária,0,560,21.36,3.4000000000000057
29,M,4.0,musculação,91.0,364.0,91.91,Não,28.7,21.9,2024-01-12,Ativa,Ativa,1,610,17.799999999999997,6.800000000000001
50,F,3.0,cardio,28.3,84.9,155.83,Não,15.4,24.8,2023-11-06,Ativa,Ativa,1,677,17.83,-9.4
44,F,0.0,cardio,32.0,0.0,70.31,Não,22.6,23.5,2025-03-25,Sedentária,Sedentária,0,172,16.4,-0.8999999999999986
46,M,0.0,musculação,24.6,0.0,201.72,Não,38.4,19.5,2024-07-07,Sedentária,Sedentária,0,433,16.259999999999998,18.9
60,M,4.0,musculação,74.2,296.8,190.54,Não,27.8,34.3,2023-05-03,Ativa,Ativa,1,864,25.42,-6.4999999999999964
18,O,3.0,yoga,119.7,359.1,100.45,Sim,35.2,32.5,2022-12-23,Ativa,Ativa,1,995,17.37,2.700000000000003
28,F,7.0,cardio,39.9,279.3,192.94,Não,26.0,23.9,2024-03-10,Ativa,Ativa,1,552,12.39,2.1000000000000014
29,F,6.0,yoga,76.9,461.4,192.39,Não,24.9,29.3,2023-06-23,Ativa,Ativa,1,813,16.39,-4.400000000000002
55,M,1.0,yoga,60.7,60.7,50.63,Sim,31.5,15.8,2023-07-07,Ativa,Ativa,1,799,22.57,15.7
34,F,1.0,futebol,70.55,203.5,158.85,Não,26.7,22.2,2025-06-16,Ativa,Ativa,1,89,10.2,4.5
57,O,7.0,musculação,51.3,359.1,188.9,Não,36.0,36.2,2025-06-23,Ativa,Ativa,1,82,22.229999999999997,-0.20000000000000284
58,F,3.0,yoga,116.1,348.3,107.6,Não,23.5,29.1,2022-01-05,Ativa,Ativa,1,1347,29.009999999999998,-5.600000000000001
28,M,7.0,cardio,88.4,618.8,84.13,Sim,14.7,29.9,2020-02-03,Ativa,Ativa,1,2049,17.240000000000002,-15.2
62,F,4.0,futebol,38.3,153.2,58.6,Não,16.8,34.8,2022-02-19,Ativa,Ativa,1,1302,22.43,-17.999999999999996
20,F,4.0,musculação,51.2,203.5,231.46,Não,27.3,32.0,2021-12-09,Sedentária,Sedentária,0,1374,11.120000000000001,-4.699999999999999
54,M,3.0,yoga,117.4,352.2,144.04,Sim,36.5,11.2,2023-09-08,Ativa,Ativa,1,736,27.94,25.3
21,O,1.0,yoga,62.9,62.9,290.53,Não,27.9,17.0,2023-02-16,Ativa,Ativa,1,940,12.59,10.899999999999999
48,M,2.0,natação,84.0,168.0,131.05,Sim,14.9,28.7,2022-06-25,Ativa,Ativa,1,1176,22.799999999999997,-13.799999999999999
63,F,1.0,crossfit,104.4,104.4,146.11,Não,30.4,39.3,2021-12-31,Ativa,Ativa,1,1352,29.34,-8.899999999999999
18,O,6.0,musculação,28.5,171.0,141.0,Sim,39.2,32.0,2020-01-19,Ativa,Ativa,1,2064,8.25,7.200000000000003
39,F,7.0,cardio,99.1,693.7,87.44,Sim,33.2,34.9,2023-02-26,Ativa,Ativa,1,930,21.61,-1.6999999999999957
45,O,4.0,yoga,48.7,203.5,281.39,Não,22.4,17.3,2021-05-04,Sedentária,Sedentária,0,1593,18.37,5.099999999999998
25,O,7.0,cardio,32.0,224.0,219.93,Não,33.3,10.8,2022-08-16,Ativa,Ativa,1,1124,10.7,22.499999999999996
23,M,5.0,musculação,105.9,529.5,146.03,Sim,14.1,36.7,2022-12-15,Ativa,Ativa,1,1003,17.490000000000002,-22.6
56,O,3.0,musculação,38.6,115.8,130.51,Não,25.4,39.4,2023-08-28,Ativa,Ativa,1,747,20.66,-14.0
63,M,3.0,crossfit,49.8,149.4,278.02,Sim,24.0,20.8,2020-04-02,Ativa,Ativa,1,1990,23.88,3.1999999999999993
23,O,7.0,natação,70.1,490.7,130.71,Sim,34.1,11.7,2021-03-30,Ativa,Ativa,1,1628,13.91,22.400000000000002
20,M,7.0,cardio,98.2,687.4,80.46,Sim,20.1,32.4,2025-01-27,Ativa,Ativa,1,229,15.82,-12.299999999999997
64,M,5.0,cardio,36.4,182.0,235.15,Sim,30.3,20.9,2022-04-03,Ativa,Ativa,1,1259,22.84,9.400000000000002
23,F,2.0,crossfit,101.9,203.8,224.59,Não,20.6,13.5,2021-02-08,Ativa,Ativa,1,1678,17.09,7.100000000000001
31,O,5.0,crossfit,32.2,161.0,84.23,Sim,33.7,22.4,2025-06-04,Ativa,Ativa,1,101,12.52,11.300000000000004
51,M,2.0,futebol,31.1,62.2,269.84,Sim,34.7,30.8,2021-03-05,Ativa,Ativa,1,1653,18.41,3.900000000000002
47,F,1.0,crossfit,29.5,29.5,265.65,Não,24.7,13.2,2024-01-02,Ativa,Ativa,1,620,17.05,11.5
19,F,3.0,musculação,57.4,172.2,147.47,Não,32.8,36.1,2020-09-06,Ativa,Ativa,1,1833,11.440000000000001,-3.3000000000000043
24,M,6.0,crossfit,57.4,344.4,250.42,Sim,39.7,10.1,2022-06-02,Ativa,Ativa,1,1199,12.94,29.6
44,M,2.0,crossfit,99.4,198.8,159.3,Não,36.1,36.1,2022-06-08,Ativa,Ativa,1,1193,23.14,0.0
